from_esr;from_name;to_esr;to_name
10002;Петрозаводск;10318;ОП Шуйский Мост
10214;Голиковка;10002;Петрозаводск
10303;Томицы;10407;Шуйская
10303;Томицы;25309;Чална-Онежская
10318;ОП Шуйский Мост;10303;Томицы
10318;ОП Шуйский Мост;10303;Томицы
10407;Шуйская;10411;ОП Ост. Пункт 427 км
10411;ОП Ост. Пункт 427 км;10426;Лучевой
10426;Лучевой;10515;ОП Ост. Пункт 437 км
10500;Суна;10604;Заделье (рзд)
10515;ОП Ост. Пункт 437 км;10500;Суна
10604;Заделье (рзд);10708;Кондопога
10708;Кондопога;10905;Нигозеро
10727;Мянсельга;10731;Илемсельга
10731;Илемсельга;10801;Кедрозеро
10801;Кедрозеро;10820;Лижма
10820;Лижма;11503;Новый Поселок
10843;ОП Викшезеро;11005;Кяппесельга
10905;Нигозеро;10727;Мянсельга
11005;Кяппесельга;11015;ОП Уница
11015;ОП Уница;11109;Пергуба
11109;Пергуба;11113;Предмедгорский
11113;Предмедгорский;11306;Медвежья Гора
11306;Медвежья Гора;12807;Медвежья Гора (перев.)
11400;Вичка;11414;Лумбушозеро (пп)
11414;Лумбушозеро (пп);11429;Малыга
11429;Малыга;11433;ОП Ванзозеро
11433;ОП Ванзозеро;11541;Масельская
11503;Новый Поселок;10843;ОП Викшезеро
11518;Быстряги (рзд);11522;Раменцы
11522;Раменцы;11537;ОП Сумеричи
11537;ОП Сумеричи;11749;Уросозеро
11541;Масельская;11518;Быстряги (рзд)
11715;ОП Суглица;11720;Ригозеро (рзд)
11720;Ригозеро (рзд);11734;Шпаловой
11734;Шпаловой;11804;Сегежа
11749;Уросозеро;11715;ОП Суглица
11804;Сегежа;11819;Май-Губа
11819;Май-Губа;11908;Надвоицы
11908;Надвоицы;11912;Шавань
11912;Шавань;12008;Кочкома
12008;Кочкома;12101;Идель
;;;
12101;Идель;12116;Тунгуда
12116;Тунгуда;12205;Летний
12205;Летний;12210;ОП Кильбо
12210;ОП Кильбо;12309;Сосновец
12309;Сосновец;12313;Уда
12313;Уда;12328;Горелый Мост
12328;Горелый Мост;13000;Беломорск
;;;
;;;
12510;Руйга;12544;Нюхча
12525;ОП Вирандозеро;12510;Руйга
12544;Нюхча;12397;Маленьга
12614;Колежма;12633;Ухтица
12629;Тегозеро;12614;Колежма
12633;Ухтица;12525;ОП Вирандозеро
12703;Сумский Посад;12629;Тегозеро
12718;Вирма (рзд);12703;Сумский Посад
12722;Сухое;12718;Вирма (рзд)
12737;Шижня (рзд);12722;Сухое
12741;Выг;12737;Шижня (рзд)
12807;Медвежья Гора (перев.);11400;Вичка
13000;Беломорск;13301;Беломорск (перев.)
13000;Беломорск;13015;Заливы
13000;Беломорск;12741;Выг
13015;Заливы;13123;Шуерецкая
13119;Мягрека;13208;Кемь
13123;Шуерецкая;13119;Мягрека
13208;Кемь;13227;Ламбино
13208;Кемь;13250;ОП Кемь-Пристань
13227;Ламбино;13231;Поньгома
13231;Поньгома;13509;Кузема
;;;
;;;
13509;Кузема;13513;ОП Воньга
13513;ОП Воньга;13528;Сиг
13528;Сиг;13602;Энгозеро
13602;Энгозеро;13706;Амбарный
13706;Амбарный;13710;Боярская
13710;Боярская;13801;Лоухи
13801;Лоухи;13829;ОП Кереть
13801;Лоухи;14107;Пяозеро
13829;ОП Кереть;14304;Чупа
;;;
14304;Чупа;14319;ОП Катозеро
14319;ОП Катозеро;14338;Полярный Круг
14338;Полярный Круг;14357;Пояконда
14342;Блок-пост 1093 км;14376;Ковда
14357;Пояконда;14361;ОП Лесной
14361;ОП Лесной;14342;Блок-пост 1093 км
14376;Ковда;14408;Княжая
14408;Княжая;14431;ОП Жемчужная
14431;ОП Жемчужная;14450;Ручьи-Карельские
14450;Ручьи-Карельские;14465;ОП Ост. Пункт 1147 км
14450;Ручьи-Карельские;14516;ОП Кирки
14465;ОП Ост. Пункт 1147 км;14802;Белое Море
14516;ОП Кирки;14520;ОП Платформа 11 км
14520;ОП Платформа 11 км;14535;ОП Платформа 16 км
14535;ОП Платформа 16 км;14545;ОП Вуд-Озеро
14545;ОП Вуд-Озеро;14554;ОП Платформа 20 км
14554;ОП Платформа 20 км;14569;ОП Платформа 26 км
14569;ОП Платформа 26 км;14573;ОП Будасси
14573;ОП Будасси;14588;ОП Платформа 38 км
14588;ОП Платформа 38 км;14611;Ням-Озеро
14611;Ням-Озеро;14624;ОП Тованд
14624;ОП Тованд;14639;ОП Платформа 57 км
14639;ОП Платформа 57 км;14643;ОП Капраево
14643;ОП Капраево;14658;ОП Платформа 62 км
14658;ОП Платформа 62 км;14681;ОП Платформа 93 км
14681;ОП Платформа 93 км;14709;Алакуртти
;;;
14802;Белое Море;14817;ОП Ост. Пункт 1157 км
14817;ОП Ост. Пункт 1157 км;14906;Кандалакша
;;;
14906;Кандалакша;15006;Кандалакша (перев.)
14910;ОП Ост. Пункт 1175 км;14930;ОП Плесозеро
14930;ОП Плесозеро;14944;ОП Ост. Пункт 1186 км
14944;ОП Ост. Пункт 1186 км;14959;ОП Ост. Пункт 1189 км
14959;ОП Ост. Пункт 1189 км;15102;Пинозеро
15006;Кандалакша (перев.);15701;Кандалакша (эксп.)
15102;Пинозеро;15504;Полярные Зори
15102;Пинозеро;15114;ОП Червас
