from_esr;to_esr
761848;761814
761814;761829
761829;761833
761833;761903
761903;761918
761918;762037
762037;762018
762018;762022
762022;762111
762111;762126
762126;762130
762130;762253
762253;762215
762215;762224
762224;762234
762234;762249
762249;762304
762304;762319
762319;762323
762323;762338
762338;762342
762342;762408
762408;762412
762412;762427
762427;762431
762431;762446
762446;762569
762569;762554
762554;762516
762516;762520
762520;762535
762535;762543
762543;762610
762610;762662
762662;762624
762624;762639
762639;762643
762643;760205
760205;760120
760120;760116
760116;760101
760101;760031
760031;760027
760027;760012
760012;760008
760008;761104
761104;761208
761208;761301
761104;761405
761405;761414
761414;761424
761424;761509
761509;761513
761513;761528
761528;761532
761532;761706
761706;761710
761710;763006
763006;763010
763010;763100
763100;763114
763114;763129
763129;763133
763133;763608
763608;763612
763612;763504
763504;763631
763631;763646
763646;763701
763701;763716
763716;763720
763720;763735
763735;763805
763805;763815
763815;763824
763824;763839
763839;763932
763932;763913
763913;763928
763928;764013
764013;764117
764117;764206
764206;764210
764210;764225
764225;764230
764230;764306
764306;764314
764314;764403
764403;764511
764511;783002
783002;783118
783118;783207
783207;783211
783211;783226
783226;783315
783315;782736
782736;782702
782702;782115
782115;782007
782007;781911
781911;781907
781907;781803
781803;781701
781701;781536
781536;781521
781521;781517
781517;781540
781540;780124
780124;780105
780105;780110
780110;780001
780001;780529
780529;780514
780514;780506
780506;780618
780618;780603
780603;780622
780622;793410
793410;794112
794112;794038
794038;794023
794023;794042
794042;794019
794019;794004
794004;793923
793923;793919
793919;793904
793904;793529
793529;793514
793514;793503
793503;793425
793425;793251
793251;793247
793247;793232
793232;793228
793228;793209
793209;793143
793143;793139
793139;793124
793124;793118
793118;793105
793105;793001
793001;792901
792901;792827
792827;792812
792812;792831
792831;792738
792738;792723
792723;792719
792719;792704
792704;792649
792649;792634
792634;792627
792627;792615
792615;792600
792600;792545
792545;792530
792530;792526
792526;792511
792511;792507
792507;792403
792403;792308
792308;792231
792231;792225
792225;792210
792210;792244
792244;792155
792155;792140
792140;792165
792165;792174
792174;792136
792136;792121
792121;792117
792117;792102
792102;790022
790022;790003
790003;790018
790018;790304
790304;790408
790408;790501
790501;790605
790605;790611
790611;790709
790709;790713
790713;790728
790728;790732
790732;790747
790747;790751
790751;790802
790802;790817
790817;790821
790821;790906
790906;790910
790910;790925
790925;791006
791006;791010
791010;791025
791025;791036
791036;791114
791114;791129
791129;791203
791203;791218
791218;791222
791222;791330
791330;791311
791311;791326
791326;791400
791400;791415
791415;791421
791421;791434
791434;791453
791453;791519
791519;791523
791523;791538
791538;791542
791542;791608
791608;791631
791631;791612
791612;791627
791627;791740
791740;791716
791716;791720
791720;791735
791735;791805
791805;791817
791817;791824
791824;791839
791839;791909
791909;791913
791913;792070
792070;792013
792013;792028
792028;792032
792032;792047
792047;792051
792051;792066
792066;831608
782505;782420
782420;782416
782416;782401
782401;782327
782327;782312
782312;782308
782308;782242
782242;782238
782238;782223
782223;782219
782219;782204
782505;781466
781466;781451
781451;781447
781447;781432
781432;781428
781428;781413
781413;781409
781409;781470
781470;780088
780088;780073
780073;780069
780069;790094
790094;780054
780054;780044
780044;780035
780035;780020
780020;780016
780016;780001
780603;780707
780707;781004
781004;781108
781108;781112
781112;781127
781127;781131
781131;781220
781220;781216
781216;781305
780603;780656
780656;794201
794201;794220
794220;794216
794216;794305
794305;794313
794313;794324
794324;794409
794409;794413
794413;794502
794502;794517
794517;794606
794606;794625
794625;794610
794610;794709
794709;794714
794714;794803
794803;794818
794818;794907
794907;794911
794911;794926
794926;794930
794930;795007
795007;795011
795011;795100
795100;795191
795191;795469
795469;795115
795115;795401
795401;795416
795416;795473
795473;795420
795420;795435
795435;795454
795454;795442
795442;801509
795100;795327
795327;795331
795331;795312
795312;795308
793209;793266
793266;795187
795187;795172
795172;795168
795168;795153
795153;795149
795149;795134
795134;795123
795123;795100
790408;790200
790200;790412
790412;790427
790427;795609
795609;795613
795613;795628
795628;795702
795702;795717
795717;795721
795721;795736
795736;795740
795740;795806
795806;795810
795810;795825
795825;795838
795838;795904
795904;795914
795914;795929
795929;796000
796000;796014
796014;796103
796103;796118
796118;796186
796186;796122
796122;796141
796141;796175
796175;796156
796156;796160
796160;796508
796508;796527
796527;796546
796546;796565
796565;796601
796601;796620
796620;796635
796635;796654
796654;796673
796673;796688
796688;796705
796705;796724
796724;796902
796902;796917
796917;796921
796921;796955
796955;796940
796940;796974
796974;797002
797002;797017
797017;797021
797021;797144
797144;797110
797110;797139
797139;797125
797125;797205
797205;797214
797214;797303
797303;797322
797322;797318
797318;797356
797356;797337
797337;797341
797341;797708
797708;797712
797712;797604
797604;797727
797727;797801
797801;797816
797816;797905
797905;798005
797303;797407
797407;797500
797500;798109
797708;797731
797731;797746
797746;797765
797765;797750
797750;798202
798202;798217
798217;798221
798221;798268
798268;798236
798236;798255
798255;798240
798240;798274
798274;798306
798306;798400
798400;798414
798414;798429
798429;798522
798522;798518
798518;798630
798630;798611
798611;798645
798645;798626
798626;798700
;
798700;798734
798734;798715
798715;798720
798720;798908
798908;798503
798503;799008
;
760008;760402
760402;760417
760417;760506
760506;760510
760510;760614
760614;760604
760604;760703
760703;760807
;
761104;761000
761000;760949
760949;760934
760934;760923
760923;760915
760915;760900
760900;760633
760633;760629
760629;760614
760614;760604
760604;760703
760703;760807
;
760604;760807
760807;760648
760648;760652
760652;764600
764600;764649
764649;764615
764615;764653
764653;764625
764625;764634
764634;764757
764757;764719
764719;764723
764723;764738
764738;764742
764742;764808
764808;764812
764812;764827
764827;764831
764831;764846
764846;764850
764850;765001
765001;764899
764899;765016
765016;765020
765020;765035
765035;765040
765040;765069
765069;765054
765054;765073
765073;765116
765116;765213
765213;768207
768207;765232
765232;768211
768211;768118
;
768118;768315
768315;768404
768404;768419
768419;768531
768531;768527
768527;768601
768601;768620
768620;768809
768809;768902
768902;768917
768917;768921
768921;768936
768936;769002
769002;769017
769017;769407
769407;769411
769411;769426
769426;769430
769430;769500
769500;769445
769445;769604
;
768118;768008
768008;767929
767929;767914
767914;767902
767902;767810
767810;767806
767806;767717
767717;767702
767702;767632
767632;767628
767628;767613
767613;767609
767609;767539
767539;767524
767524;767517
767517;767505
767505;767346
767346;767331
767331;767327
767327;767312
767312;767308
;
760604;760807
760807;760648
760648;765302
765302;765317
765317;765321
765321;765336
765336;765340
765340;765355
765355;765369
765369;765374
765374;765406
765406;765410
765410;765425
765425;765501
765501;765514
765514;765529
765529;765533
765533;765637
765637;765618
765618;765622
765622;765707
765707;765711
765711;766042
766042;766038
766038;766019
766019;766023
766023;766108
;
766108;767350
767350;766112
766112;766201
766201;766216
766216;766220
766220;766235
766235;767308
;
767308;772645
772645;767242
767242;767238
767238;767223
767223;767219
767219;767121
767121;767115
767115;767100
767100;767045
767045;767030
767030;767026
767026;767007
767007;766926
766926;766911
766911;766822
766822;766707
766707;766606
766606;766502
766502;766470
766470;766413
766413;766451
766451;766466
766466;766428
766428;772912
772912;772908
772908;772630
772630;772626
772626;772607
;
772607;773101
773101;772611
772611;773116
773116;773205
773205;773309
773309;773313
773313;773328
773328;773332
773332;773347
773347;773351
773351;773366
773366;773370
773370;773385
773385;773972
773972;773968
773968;773953
773953;773949
773949;773987
773987;773915
773915;773920
773920;773934
773934;774000
774000;774015
774015;774104
774104;774119
774119;774208
774208;774212
774212;774227
774227;774231
774231;774301
774301;774316
774316;774335
774335;774320
774320;774706
;
774706;775003
775003;775018
775018;775107
775107;775200
775200;775215
775215;775408
775408;775516
775516;775605
775605;775617
775617;775624
775624;775709
775709;775802
;
774706;774710
774710;774725
774725;776504
776504;776608
776608;776716
776716;776805
776805;776913
776913;777009
777009;777013
777013;777028
777028;777102
777102;777117
;
777117;777600
777600;777615
777615;777723
777723;777719
777719;777808
777808;777812
777812;777901
777901;778035
778035;778016
778016;778105
778105;778209
778209;778020
778020;778406
778406;778509
778509;778514
778514;778904
778904;779004
779004;779019
779019;779108
779108;779201
779201;779216
779216;779305
779305;779409
779409;779502
;
772607;772518
772518;772537
772537;772503
772503;772522
772522;770283
770283;770279
770279;770298
770298;770264
770264;770258
770258;770245
770245;770230
770230;770226
770226;770211
770211;770052
770052;770005
;
780001;780213
780213;780209
780209;771515
771515;771500
771500;771426
771426;771411
771411;771430
771430;771407
771407;771453
771453;771337
771337;771322
771322;771318
771318;771303
771303;771200
771200;771110
771110;771106
771106;770851
770851;770832
770832;770828
770828;770813
770813;770809
770809;770705
770705;770654
770654;770643
770643;770635
770635;770620
770620;770616
770616;770527
770527;770512
770512;770508
770508;770118
770118;770103
770103;770005
;
770005;770014
770014;770033
770033;770404
770404;770048
770048;770300
770300;770315
770315;770324
770324;770334
770334;771619
771619;771708
771708;771712
771712;771801
771801;771816
771816;771820
771820;771905
771905;771915
771915;772202
772202;772217
772217;772221
772221;772715
772715;772236
772236;772306
772306;772429
772429;772414
772414;786506
;
774706;774730
774730;776006
776006;776010
776010;776025
776025;776063
776063;776031
776031;776044
776044;776059
776059;776108
776108;776078
776078;776114
776114;776330
776330;776311
776311;776326
776326;787439
787439;787424
787424;787419
787419;787443
787443;787301
787301;787212
787212;787208
787208;787123
787123;787119
787119;787138
787138;787015
787015;787000
787000;786953
786953;786949
786949;786934
786934;786928
786928;786915
786915;786900
786900;786811
786811;786807
786807;786718
786718;786703
786703;786506
;
786506;786609
786609;786417
786417;786421
786421;786402
786402;786313
786313;786309
786309;786213
786213;786224
786224;785950
785950;785946
785946;785908
;
785908;784912
784912;784905
784905;784727
784727;784712
784712;784731
784731;784623
784623;784619
784619;784638
784638;793270
793270;784500
784500;793213
793213;793209
;
780800;785005
785005;785109
785109;785202
785202;785217
785217;785306
785306;785403
785403;785414
785414;785518
785518;785607
785607;785700
785700;785715
785715;785722
785722;785734
785734;785857
785857;785819
785819;785823
785823;785838
785838;785842
785842;785908
;
785908;785965
785965;785912
785912;785927
785927;785975
785975;785931
785931;787602
787602;785984
785984;787617
787617;787621
787621;787706
787706;787710
787710;787725
787725;787738
787738;787804
787804;787848
787848;787814
787814;787829
787829;787833
787833;787922
787922;787918
787918;788022
788022;788018
788018;788107
788107;788111
788111;788268
788268;788215
788215;788229
788229;788234
788234;788249
788249;788253
788253;788408
788408;788412
788412;788427
788427;788501
788501;788516
788516;788520
788520;788535
788535;788605
788605;788614
788614;788709
788709;788713
788713;788802
788802;788906
;
780001;780904
780904;780637
780637;780800
;
780603;780800
;
780001;780302
;
762543;762658
762658;762709
762709;762713
762713;762728
762728;762732
762732;762802
762802;762906
;
760205;760219
760219;760224
760224;760309
;
761509;761566
761566;761547
761547;761551
761551;761602
;
793503;793618
793618;793603
793603;793622
793622;793637
793637;793641
793641;793711
793711;793800
;
796103;796207
796207;796300
;
768601;768712
;
765707;765726
765726;765730
;
795420;795558
;
764808;764901
;
772908;772927
772927;772931
772931;772946
772946;772978
772978;772950
772950;772965
772965;772984
772984;772999
772999;773012
773012;773008
;
773351;773417
773417;773402
773402;773506
773506;773601
;
;
775200;775304
;
;
777117;777403
777403;777418
777418;777507
;
;
770851;770866
770866;770870
770870;771002
;
;
770832;770847
770847;770902
;771905
771905;771924
771924;771939
771939;772058
772058;772043
772043;772010
772010;772024
772024;772039
772039;772109
;
;
784712;784303
784303;784426
784426;784411
;
;
784303;784816
;
;
776326;776400
;
;
778509;778730
