	division	esr	region	express	source	iso3166	osm_id	lat	lon	name	station_type_en	railway
5	Петрозаводское	10002	Республика Карелия	2004300.0	karel	RU-KR	665115765.0	61.78421783	34.34402084	Петрозаводск-Пассажирский	station	Октябрьская
8		10110	Республика Карелия		karel	RU-KR				ПЕТРОЗАВОДСК-ГОЛ		Октябрьская
9		10125	Республика Карелия		karel	RU-KR				ПЕТРОЗАВОДСК-ТОМ		Октябрьская
13	Петрозаводское	10205	Республика Карелия	2004775.0	karel	RU-KR				ГОЛИКОВКА		Октябрьская
14	Петрозаводское	10214	Республика Карелия	2004775.0	karel	RU-KR				Голиковка		Октябрьская
16		10303	Республика Карелия		karel	RU-KR				Томицы		Октябрьская
17	Петрозаводское	10318	Республика Карелия	2004446.0	karel	RU-KR	370804.0	61.88643265	34.24979401	Шуйский Мост	halt	Октябрьская
18	Петрозаводское	10322	Республика Карелия	2004329.0	karel	RU-KR				Томицы		Октябрьская
19		10337	Республика Карелия		karel	RU-KR				417 км		Октябрьская
20		10341	Республика Карелия	2006332.0	karel	RU-KR				528 км		Октябрьская
23	Петрозаводское	10407	Республика Карелия	2004330.0	karel	RU-KR	370656.0	61.94111252	34.25039291	Шуйская	station	Октябрьская
24	Петрозаводское	10411	Республика Карелия	2004924.0	karel	RU-KR	1328926694.0	61.98009872	34.24554825	427 км	halt	Октябрьская
25	Петрозаводское	10426	Республика Карелия	2004331.0	karel	RU-KR	1424435426.0	62.03767776	34.21403503	Лучевой	station	Октябрьская
26	Петрозаводское	10500	Республика Карелия	2004332.0	karel	RU-KR	26919789.0	62.11172485	34.24343872	Суна	station	Октябрьская
27	Петрозаводское	10515	Республика Карелия	2005411.0	karel	RU-KR	26904534.0	62.06446457	34.23099136	437 км	station	Октябрьская
28	Петрозаводское	10604	Республика Карелия	2004333.0	karel	RU-KR	26919754.0	62.16843796	34.20512009	Заделье	halt	Октябрьская
29	Петрозаводское	10623	Республика Карелия	2006334.0	karel	RU-KR	3417936032.0	62.20711136	34.22889328	454 км	halt	Октябрьская
33	Петрозаводское	10708	Республика Карелия	2004334.0	karel	RU-KR	26919691.0	62.20932007	34.27616501	Кондопога	station	Октябрьская
